binom_name,filename
Lactuca.virosa,Lactuca.virosa_reg_covariate_ensemble.tif
Lamium.album,Lamium.album_reg_covariate_ensemble.tif
Lamium.galeobdolon,Lamium.galeobdolon_reg_covariate_ensemble.tif
Larix.decidua,Larix.decidua_reg_covariate_ensemble.tif
Laurus.nobilis,Laurus.nobilis_reg_covariate_ensemble.tif
Lavandula.angustifolia,Lavandula.angustifolia_reg_covariate_ensemble.tif
Lemna.minor,Lemna.minor_reg_covariate_ensemble.tif
Leontopodium.alpinum,Leontopodium.alpinum_reg_covariate_ensemble.tif
Leonurus.cardiaca,Leonurus.cardiaca_reg_covariate_ensemble.tif
Leucanthemum.vulgare,Leucanthemum.vulgare_reg_covariate_ensemble.tif
Ligusticum.mutellina,Ligusticum.mutellina_reg_covariate_ensemble.tif
Ligustrum.vulgare,Ligustrum.vulgare_reg_covariate_ensemble.tif
Linaria.alpina,Linaria.alpina_reg_covariate_ensemble.tif
Linaria.vulgaris,Linaria.vulgaris_reg_covariate_ensemble.tif
Linum.catharticum,Linum.catharticum_reg_covariate_ensemble.tif
Linum.usitatissimum,Linum.usitatissimum_reg_covariate_ensemble.tif
Lithospermum.officinale,Lithospermum.officinale_reg_covariate_ensemble.tif
Lonicera.caprifolium,Lonicera.caprifolium_reg_covariate_ensemble.tif
Lotus.corniculatus,Lotus.corniculatus_reg_covariate_ensemble.tif
Lycopodium.clavatum,Lycopodium.clavatum_reg_covariate_ensemble.tif
Lycopus.europaeus,Lycopus.europaeus_reg_covariate_ensemble.tif
Lysimachia.nummularia,Lysimachia.nummularia_reg_covariate_ensemble.tif
Lysimachia.vulgaris,Lysimachia.vulgaris_reg_covariate_ensemble.tif
Lythrum.salicaria,Lythrum.salicaria_reg_covariate_ensemble.tif
Mahonia.aquifolium,Mahonia.aquifolium_reg_covariate_ensemble.tif
Malus.sylvestris,Malus.sylvestris_reg_covariate_ensemble.tif
Malva.alcea,Malva.alcea_reg_covariate_ensemble.tif
Malva.sylvestris,Malva.sylvestris_reg_covariate_ensemble.tif
Matricaria.chamomilla,Matricaria.chamomilla_reg_covariate_ensemble.tif
Matricaria.discoidea,Matricaria.discoidea_reg_covariate_ensemble.tif
Medicago.sativa,Medicago.sativa_reg_covariate_ensemble.tif
Melilotus.officinalis,Melilotus.officinalis_reg_covariate_ensemble.tif
Melissa.officinalis,Melissa.officinalis_reg_covariate_ensemble.tif
Melittis.melissophyllum,Melittis.melissophyllum_reg_covariate_ensemble.tif
Menyanthes.trifoliata,Menyanthes.trifoliata_reg_covariate_ensemble.tif
Mercurialis.annua,Mercurialis.annua_reg_covariate_ensemble.tif
Mercurialis.perennis,Mercurialis.perennis_reg_covariate_ensemble.tif
Mespilus.germanica,Mespilus.germanica_reg_covariate_ensemble.tif
Meum.athamanticum,Meum.athamanticum_reg_covariate_ensemble.tif
Muscari.comosum,Muscari.comosum_reg_covariate_ensemble.tif
Myosotis.arvensis,Myosotis.arvensis_reg_covariate_ensemble.tif
Myosotis.scorpioides,Myosotis.scorpioides_reg_covariate_ensemble.tif
Narcissus.pseudonarcissus,Narcissus.pseudonarcissus_reg_covariate_ensemble.tif
Nepeta.cataria,Nepeta.cataria_reg_covariate_ensemble.tif
Nigella.damascena,Nigella.damascena_reg_covariate_ensemble.tif
Nymphaea.alba,Nymphaea.alba_reg_covariate_ensemble.tif
Oenothera.biennis,Oenothera.biennis_reg_covariate_ensemble.tif
Ononis.spinosa,Ononis.spinosa_reg_covariate_ensemble.tif
Onopordum.acanthium,Onopordum.acanthium_reg_covariate_ensemble.tif
Origanum.vulgare,Origanum.vulgare_reg_covariate_ensemble.tif
Ornithogalum.umbellatum,Ornithogalum.umbellatum_reg_covariate_ensemble.tif
Osmunda.regalis,Osmunda.regalis_reg_covariate_ensemble.tif
Oxalis.acetosella,Oxalis.acetosella_reg_covariate_ensemble.tif
Paeonia.officinalis,Paeonia.officinalis_reg_covariate_ensemble.tif
Papaver.rhoeas,Papaver.rhoeas_reg_covariate_ensemble.tif
Papaver.somniferum,Papaver.somniferum_reg_covariate_ensemble.tif
Parietaria.officinalis,Parietaria.officinalis_reg_covariate_ensemble.tif
Paris.quadrifolia,Paris.quadrifolia_reg_covariate_ensemble.tif
Pastinaca.sativa,Pastinaca.sativa_reg_covariate_ensemble.tif
Petasites.albus,Petasites.albus_reg_covariate_ensemble.tif
Peucedanum.ostruthium,Peucedanum.ostruthium_reg_covariate_ensemble.tif
Phragmites.australis,Phragmites.australis_reg_covariate_ensemble.tif
Phyllitis.scolopendrium,Phyllitis.scolopendrium_reg_covariate_ensemble.tif
Physalis.alkekengi,Physalis.alkekengi_reg_covariate_ensemble.tif
Phytolacca.americana,Phytolacca.americana_reg_covariate_ensemble.tif
Picea.abies,Picea.abies_reg_covariate_ensemble.tif
Pimpinella.major,Pimpinella.major_reg_covariate_ensemble.tif
Pimpinella.saxifraga,Pimpinella.saxifraga_reg_covariate_ensemble.tif
Pinguicula.vulgaris,Pinguicula.vulgaris_reg_covariate_ensemble.tif
Pinus.mugo,Pinus.mugo_reg_covariate_ensemble.tif
Pinus.sylvestris,Pinus.sylvestris_reg_covariate_ensemble.tif
Pisum.sativum,Pisum.sativum_reg_covariate_ensemble.tif
Plantago.alpina,Plantago.alpina_reg_covariate_ensemble.tif
Plantago.lanceolata,Plantago.lanceolata_reg_covariate_ensemble.tif
Plantago.major,Plantago.major_reg_covariate_ensemble.tif
Plantago.media,Plantago.media_reg_covariate_ensemble.tif
Polygala.amara,Polygala.amara_reg_covariate_ensemble.tif
Polygala.vulgaris,Polygala.vulgaris_reg_covariate_ensemble.tif
Polygonatum.odoratum,Polygonatum.odoratum_reg_covariate_ensemble.tif
Polygonum.amphibium,Polygonum.amphibium_reg_covariate_ensemble.tif
Polygonum.aviculare,Polygonum.aviculare_reg_covariate_ensemble.tif
Polygonum.bistorta,Polygonum.bistorta_reg_covariate_ensemble.tif
Polygonum.hydropiper,Polygonum.hydropiper_reg_covariate_ensemble.tif
Polypodium.vulgare,Polypodium.vulgare_reg_covariate_ensemble.tif
Populus.alba,Populus.alba_reg_covariate_ensemble.tif
Populus.nigra,Populus.nigra_reg_covariate_ensemble.tif
Populus.tremula,Populus.tremula_reg_covariate_ensemble.tif
